poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,politician_id,politician,favorable,unfavorable,alternate_answers,very_favorable,somewhat_favorable,somewhat_unfavorable,very_unfavorable
78976,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,5/15/2022,5/17/2022,,,,155593,1500,a,,a,,5/18/2022 10:09,,https://docs.cdn.yougov.com/yv0izk3dxm/econtoplines.pdf,,FALSE,,11,Donald Trump,38,55,7,23,15,11,44
78976,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,5/15/2022,5/17/2022,,,,155594,1338,rv,,rv,,5/18/2022 10:09,,https://docs.cdn.yougov.com/8ew54v1ohy/econTabReport.pdf,,FALSE,,11,Donald Trump,40,57,3,25,15,10,47
78974,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,5/13/2022,5/16/2022,,,,155577,2005,rv,,rv,,5/18/2022 9:39,,https://assets.morningconsult.com/wp-uploads/2022/05/17122458/2205081_crosstabs_POLITICO_RVs_v1_SH.pdf,,FALSE,,11,Donald Trump,41,56,3,,,,
78931,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,5/8/2022,5/10/2022,,,,155399,1500,a,,a,,5/11/2022 9:28,,https://docs.cdn.yougov.com/7mggbvtur9/econtoplines.pdf,,FALSE,,11,Donald Trump,39,55,5,24,15,11,44
78931,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,5/8/2022,5/10/2022,,,,155400,1357,rv,,rv,,5/11/2022 9:28,,https://docs.cdn.yougov.com/o1zu29c4cp/econTabReport.pdf,,FALSE,,11,Donald Trump,40,56,4,25,15,11,45
78964,1292,Hart Research Associates/Public Opinion Strategies,132,NBC News,Hart Research Associates/Public Opinion Strategies,221,NBC News/The Wall Street Journal,B+,Live Phone,,5/5/2022,5/10/2022,,,,155500,1000,a,,a,,5/15/2022 13:29,no polling 5/8; question wording positive/negative/neutral,https://www.nbcnews.com/politics/2022-election/support-abortion-rights-hits-new-high-midterm-outlook-stays-mostly-unc-rcna28869,,FALSE,,11,Donald Trump,36,51,13,21,15,9,42
78928,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,5/6/2022,5/9/2022,,,,155367,2005,rv,,rv,,5/11/2022 8:50,,https://assets.morningconsult.com/wp-uploads/2022/05/10135251/2205036_crosstabs_POLITICO_RVs_v2_SH.pdf,,FALSE,,11,Donald Trump,43,55,2,,,,
78948,1406,Global Strategy Group/GBAO/Navigator Research,,,Navigator Research,413,Global Strategy Group/GBAO (Navigator Research),B/C,Online,,5/5/2022,5/9/2022,,,,155453,999,rv,,rv,,5/12/2022 9:20,,https://navigatorresearch.org/wp-content/uploads/2022/05/Navigator-Toplines-05.10.2022.pdf,,FALSE,,11,Donald Trump,43,55,1,25,18,10,46
78969,241,Ipsos,1156,FiveThirtyEight,Ipsos,154,Ipsos,B-,Online,,4/27/2022,5/5/2022,,,,155521,2006,a,,a,,5/17/2022 10:23,,https://www.ipsos.com/en-us/news-polls/FiveThirtyEight-2022-midterm-election,,FALSE,,11,Donald Trump,33,59,8,14,18,13,47
78873,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,5/3/2022,5/3/2022,,,,155207,1955,rv,,rv,,5/4/2022 9:34,,https://assets.morningconsult.com/wp-uploads/2022/05/03203234/2205008_crosstabs_POLITICO_RVs_v1_HD.pdf,,FALSE,,11,Donald Trump,42,55,3,,,,
78874,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/30/2022,5/3/2022,,,,155238,1500,a,,a,,5/4/2022 9:46,,https://docs.cdn.yougov.com/njqw3o8bdb/econoplines.pdf,,FALSE,,11,Donald Trump,40,55,5,25,15,10,45
78874,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/30/2022,5/3/2022,,,,155239,1303,rv,,rv,,5/4/2022 9:46,,https://docs.cdn.yougov.com/vbhhojqsfe/econTabReport.pdf,,FALSE,,11,Donald Trump,41,56,3,27,14,10,46
78872,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,4/29/2022,5/2/2022,,,,155205,2000,rv,,rv,,5/4/2022 9:29,,https://assets.morningconsult.com/wp-uploads/2022/05/03132947/2204195_crosstabs_POLITICO_RVs_v2_SH.pdf,,FALSE,,11,Donald Trump,43,55,3,,,,
78896,1406,Global Strategy Group/GBAO/Navigator Research,,,Navigator Research,413,Global Strategy Group/GBAO (Navigator Research),B/C,Online,,4/28/2022,5/2/2022,,,,155502,999,rv,,rv,,5/15/2022 13:45,,https://navigatorresearch.org/wp-content/uploads/2022/05/Navigator-May-Tracker-Topline-F05.13.22.pdf,,FALSE,,11,Donald Trump,43,55,1,27,16,8,47
78862,241,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,Online,,4/27/2022,4/28/2022,,,,155133,1003,a,,a,,5/1/2022 13:10,,https://www.ipsos.com/en-us/news-polls/most-americans-oppose-penalizing-businesses-over-their-stance-social-issues,,FALSE,,11,Donald Trump,45,55,0,20,26,16,39
78843,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/26/2022,4/27/2022,,,,155007,1500,a,,a,,4/27/2022 19:36,,https://docs.cdn.yougov.com/6tarkt5kkk/econoplines.pdf,,FALSE,,11,Donald Trump,42,52,7,24,18,7,45
78843,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/26/2022,4/27/2022,,,,155008,1327,rv,,rv,,4/27/2022 19:36,,https://docs.cdn.yougov.com/6tarkt5kkk/econoplines.pdf,,FALSE,,11,Donald Trump,41,55,3,24,17,7,48
78857,461,Susquehanna,1458,The Federalist,Susquehanna Polling & Research,326,Susquehanna Polling & Research Inc.,B+,Live Phone,,4/19/2022,4/27/2022,,,,155086,800,lv,,lv,,4/28/2022 15:08,,https://thefederalist.com/2022/04/28/republicans-jump-to-10-point-lead-in-generic-ballot-test-new-fdrlst-susquehanna-poll-shows/,,FALSE,,11,Donald Trump,45,46,9,28,17,10,36
78856,1102,Emerson College Polling Society,,,Emerson College,88,Emerson College,A-,IVR/Online,,4/25/2022,4/26/2022,,,,155069,1000,rv,,rv,,4/28/2022 14:55,,https://emersonpolling.reportablenews.com/pr/april-2022-national-poll-civics-education-may-be-linked-to-trust-in-institutions-biden-approval-holds-at-42,,FALSE,,11,Donald Trump,50.9,46.2,2.9,29.1,21.8,10.1,36.1
78859,1205,Marist,"373,765",NPR | PBS NewsHour,Marist College,183,Marist College,A,Live Phone,,4/19/2022,4/26/2022,,,,155109,1377,a,,a,,4/29/2022 10:12,,https://maristpoll.marist.edu/polls/npr-pbs-newshour-marist-national-poll-the-2022-midterm-elections-bidens-job-performance-april-2022/,,FALSE,,11,Donald Trump,39,55,6,,,,
